"Product","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50",
"P0","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P1","YES","YES","NO","YES","YES","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO",
"P2","YES","YES","NO","YES","YES","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","YES","NO",
"P3","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","NO",
"P4","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO",
"P5","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P6","YES","YES","NO","YES","YES","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","NO",
"P7","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES",
"P8","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P9","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",
"P10","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",
"P11","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",
"P12","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO",
"P13","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","NO","YES","NO",
"P14","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P15","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",
"P16","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO",
"P17","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","NO",
